CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|CODIGO_INTEGRIDAD|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
"=""230458C0100"""|230458C010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""458"""|1|C|0|1|2|324|208|6|215|15|6|1|52|4|28|75|9|4|3|-|0|0|1|0|0|1|0|0|0|1|4|0|0|0|0|0|11|215|215|519|6||1|I|ba97a018a885df92541801a0f40ec374f7949f42513146ae37cab509ff07200e|2022-06-05 22:21:00|2022-06-06 00:31:31|2022-06-06 00:44:08|CASILLA|MOVIL|ACTA PREP
"=""230459B0100"""|230459B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""459"""|1|B|0|1|2|451|282|6|288|21|9|6|91|13|27|94|9|3|3|-|SIN DATO|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|10|288|288|723|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|df602b1019201231716730c8624d0a60ef99b6f56af8adec2d8f759ce802b70a|2022-06-05 20:52:36|2022-06-05 21:17:57|2022-06-05 21:20:39|CASILLA|MOVIL|ACTA PREP
"=""230460B0100"""|230460B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""460"""|1|B|0|1|2|356|220|7|227|13|5|5|66|6|24|76|6|3|1|-|1|0|0|0|1|0|0|0|0|1|4|0|1|0|0|1|13|227|227|563|7||1|I|9009019c34182f436a9853ffa70592840b12d9a03ce86094a899b071f58a68e5|2022-06-05 22:57:08|2022-06-06 00:04:38|2022-06-06 00:12:37|CASILLA|MOVIL|ACTA PREP
"=""230460C0100"""|230460C010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""460"""|1|C|0|1|2|354|224|5|229|20|3|4|72|3|22|79|7|0|6|-|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|11|229|229|563|5||1|I|a75af82b3f0636df3596040de69bf1666f9eae738851b5e1b81a625e2cc7bcc7|2022-06-05 23:25:07|2022-06-05 23:50:19|2022-06-06 00:17:05|CASILLA|MOVIL|ACTA PREP
"=""230461B0100"""|230461B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""461"""|1|B|0|1|2|270|230|6|230|16|3|1|113|6|7|56|7|2|3|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|16|230|230|481|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|dc0754dc575095ef118d77aa98ef9fe1d4a64ebd8ec8dbc65f2c4790657191b2|2022-06-05 21:51:00|2022-06-06 03:36:48|2022-06-06 03:38:36|CATD|ESCANER|ACTA PREP
"=""230462B0100"""|230462B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""462"""|1|B|0|1|2|318|176|6|182|22|4|5|56|2|19|52|3|3|2|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|182|182|481|6||1|I|2387e7220b6b6307aed95c28cc1dd576cf20100a16352439ecb84863255a1ed6|2022-06-05 21:40:46|2022-06-05 20:48:05|2022-06-05 20:49:57|CASILLA|MOVIL|ACTA PREP
"=""230463B0100"""|230463B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""463"""|1|B|0|1|2|395|311|7|318|35|6|2|98|15|33|95|10|2|3|-|2|1|1|0|0|1|0|0|0|2|3|0|0|0|0|0|9|318|318|693|7||1|I|a5be67b9b59daad0d5abe648802a96ed4322cc14dc74637b67837072211774b9|2022-06-06 00:15:00|2022-06-06 03:20:48|2022-06-06 03:24:56|CATD|ESCANER|ACTA PREP
"=""230464B0100"""|230464B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""464"""|1|B|0|1|2|SIN DATO|SIN DATO|SIN DATO|236|17|5|3|85|4|10|77|6|4|2|-|1|1|0|0|0|0|0|0|0|0|2|1|0|1|0|0|16|236|235|521|0||1|I|6266994fef58be8b2c0a4815b306238b742d74d3178cd37e6ba760c69f22d993|2022-06-06 00:14:00|2022-06-06 03:21:42|2022-06-06 03:24:13|CATD|ESCANER|ACTA PREP
"=""230465B0100"""|230465B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""465"""|1|B|0|1|2|372|231|6|232|25|8|4|38|5|22|92|12|3|5|-|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|13|SIN DATO|232|590|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|34877b7fd6bcb88ccb3f391f474a61466f205fecab15aadc3953a57537f9a7d2|2022-06-05 23:48:00|2022-06-06 01:28:50|2022-06-06 01:38:58|CATD|ESCANER|ACTA PREP
"=""230466B0100"""|230466B010002|23|QUINTANA ROO|"=""04"""|DISTRITO 04|"=""466"""|1|B|0|1|2|391|242|6|248|12|2|4|113|2|24|71|6|3|3|-|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|250|243|621|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|10da400a0704dc9ccae140bd0bb689f78c5b707c61d37c18aa1740c9a2a94b29|2022-06-05 21:19:47|2022-06-05 21:45:51|2022-06-05 21:50:38|CASILLA|MOVIL|ACTA PREP
