CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|CODIGO_INTEGRIDAD|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
"=""230085B0100"""|230085B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""085"""|1|B|0|1|2|352|110|7|110|11|3|3|23|2|15|35|8|4|2|-|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|3|110|110|449|7|ALGUN DATO ILEGIBLE O SIN DATO|1|F|8eb584d5d0866f8f09ebb8915de356ade5076d4e7c19ad7f0105651ae6e05fe0|2022-06-06 06:15:00|2022-06-06 06:55:57|2022-06-06 07:06:06|CATD|ESCANER|ACTA PREP
"=""230085C0100"""|230085C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""085"""|1|C|0|1|2|SIN DATO|SIN DATO|6|120|12|5|3|20|0|17|39|5|SIN DATO|SIN DATO|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|18|120|120|449|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|24316ce017fe4b8497099415b602331fe7ec276af3732a0b32f97e7cc0a5d185|2022-06-06 06:40:00|2022-06-06 07:36:54|2022-06-06 07:41:56|CATD|ESCANER|ACTA PREP
"=""230086B0100"""|230086B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""086"""|1|B|0|1|2|337|196|6|185|18|7|1|39|4|27|69|9|0|2|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|8|SIN DATO|185|518|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|84d12c7df346deb57a1af5fdafb30dc77c212efed5eade95348f605ca9b9311e|2022-06-06 06:33:00|2022-06-06 07:41:36|2022-06-06 07:43:32|CATD|ESCANER|ACTA PREP
"=""230086C0100"""|230086C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""086"""|1|C|0|1|2|390|142|6|SIN DATO|18|7|3|29|4|18|46|10|1|3|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|ILEGIBLE|SIN DATO|1|SIN DATO|SIN DATO|0|9|151|151|518|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|7e5a4553e06907cba4a16a7ddf48da7f740bf0790f7cb8c5db1fbea38a8ee240|2022-06-06 06:34:00|2022-06-06 07:24:20|2022-06-06 07:28:36|CATD|ESCANER|ACTA PREP
"=""230087B0100"""|230087B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""087"""|1|B|0|1|2|508|226|4|230|17|3|SIN DATO|87|1|24|62|10|3|3|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|1|SIN DATO|SIN DATO|0|15|230|230|718|4|ALGUN DATO ILEGIBLE O SIN DATO|1|F|ebf0e781c4c5b467a311ea9bc60d0dd533e0d700f6c59e546223b63f64cfb8c9|2022-06-06 06:07:00|2022-06-06 07:06:52|2022-06-06 07:16:33|CATD|ESCANER|ACTA PREP
"=""230088B0100"""|230088B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""088"""|1|B|0|1|2|361|211|7|211|19|12|1|80|5|20|48|6|1|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|193|553|7||1|F|ea53d53661eac3c3158c21acd57c80e833fc4c5555fa022bacf8f08e3f8f0f83|2022-06-05 22:28:41|2022-06-05 23:06:36|2022-06-05 23:10:23|CASILLA|MOVIL|ACTA PREP
"=""230089B0100"""|230089B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""089"""|1|B|0|1|2|329|219|7|SIN DATO|21|3|1|80|5|14|70|12|1|3|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|9|219|219|530|7|ALGUN DATO ILEGIBLE O SIN DATO|1|I|26f2f4d13c689d4d0e9949fa607d5796126a3c3568c25422c150d89f260ba525|2022-06-06 04:33:00|2022-06-06 04:39:22|2022-06-06 04:41:48|CATD|ESCANER|ACTA PREP
"=""230090B0100"""|230090B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""090"""|1|B|0|1|2|364|264|8|272|29|7|2|67|6|18|78|29|3|8|-|3|1|0|0|0|0|0|0|0|0|1|0|0|0|0|3|17|272|272|616|8||1|I|f5f3bae048f0cedc50fe744694501860dbfea69e4542b725acfdc6afbb1a8050|2022-06-05 21:17:26|2022-06-05 20:26:53|2022-06-05 20:30:31|CASILLA|MOVIL|ACTA PREP
"=""230090C0100"""|230090C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""090"""|1|C|0|1|2|389|242|4|246|30|4|3|62|8|13|71|30|1|4|-|2|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|11|246|245|615|4||1|I|100486309b0509479af02f43286e995c15a6dcd97101758f8c554fb72332ec87|2022-06-05 21:15:36|2022-06-05 21:48:33|2022-06-05 21:51:09|CASILLA|MOVIL|ACTA PREP
"=""230091B0100"""|230091B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""091"""|1|B|0|1|2|383|277|7|284|32|9|2|3|5|23|90|20|3|5|-|0|1|0|0|2|0|0|0|0|0|1|0|0|0|0|0|0|ILEGIBLE|196|647|7||1|I|5f058b68e77ea6b72cecc5d184c4f8c72b3a851c9725c562ad79c0de0eb5ee78|2022-06-06 04:53:00|2022-06-06 08:23:41|2022-06-06 08:24:22|CATD|ESCANER|ACTA PREP
"=""230091C0100"""|230091C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""091"""|1|C|0|1|2|382|284|5|0|22|5|4|94|5|28|90|20|5|4|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|7|284|284|647|5|ALGUN DATO ILEGIBLE O SIN DATO|1|I|4632c81af81e0b4a9e6f17b1b407eef08e048efa82a91ec27350e25c85cc4491|2022-06-06 05:29:00|2022-06-06 06:37:22|2022-06-06 06:55:05|CATD|ESCANER|ACTA PREP
"=""230092B0100"""|230092B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""092"""|1|B|0|1|2|SIN DATO|SIN DATO|SIN DATO|239|37|11|3|57|6|12|79|13|SIN DATO|4|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|14|239|239|577|0|ALGUN DATO ILEGIBLE O SIN DATO|1|I|6044ae90889555df077234f5cdd64cbed9edb261e2e01f24940cfc2cb1734e45|2022-06-06 05:04:00|2022-06-06 06:28:24|2022-06-06 06:51:13|CATD|ESCANER|ACTA PREP
"=""230092C0100"""|230092C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""092"""|1|C|0|1|2|360|230|6|236|40|5|3|47|6|23|82|9|3|6|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|236|236|576|6||1|I|486c9bbd6dd1efce96c2217b606a4657e3fd3a39ff8c31b733039a0bed63a764|2022-06-05 21:25:05|2022-06-05 20:33:55|2022-06-05 20:37:12|CASILLA|MOVIL|ACTA PREP
"=""230093B0100"""|230093B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""093"""|1|B|0|1|2|413|214|6|220|49|15|2|61|1|16|42|15|3|3|-|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|10|220|220|613|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|8b2066604598579bb50f2946913a333f0fc05e127660a71aff0f8f256b41c0ca|2022-06-06 05:08:00|2022-06-06 06:10:53|2022-06-06 06:15:55|CATD|ESCANER|ACTA PREP
"=""230093C0100"""|230093C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""093"""|1|C|0|1|2|413|214|6|220|48|16|0|61|8|18|43|11|2|1|-|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|10|220|220|613|6||1|I|617d1f1453baa93ac4d5a5389bee74649407b146698843b41195fe7d2105834c|2022-06-06 04:49:00|2022-06-06 06:33:50|2022-06-06 06:59:43|CATD|ESCANER|ACTA PREP
"=""230093C0200"""|230093C020002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""093"""|2|C|0|1|2|400|227|7|234|57|9|6|51|8|18|54|17|2|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|232|232|612|7||1|I|705e089efe20fff1ecfeec01a67e80e995028a57c448f32055aded14f4466b92|2022-06-06 04:59:00|2022-06-06 06:58:07|2022-06-06 07:05:17|CATD|ESCANER|ACTA PREP
"=""230094B0100"""|230094B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""094"""|1|B|0|1|2|336|283|7|283|21|8|5|86|6|15|78|19|3|7|-|1|2|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|1|6|ILEGIBLE|ILEGIBLE|ILEGIBLE|1|ILEGIBLE|24|283|283|600|7|ALGUN DATO ILEGIBLE O SIN DATO|1|I|fc9fe089e62f5d063237077c0c8740012dfa91f32228ac9457d1bbf0cf08d0bd|2022-06-06 05:02:00|2022-06-06 06:24:15|2022-06-06 06:52:09|CATD|ESCANER|ACTA PREP
"=""230094C0100"""|230094C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""094"""|1|C|0|1|2|314|297|8|305|18|13|2|86|8|18|91|27|6|1|-|SIN DATO|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|4|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|27|305|305|599|8|ALGUN DATO ILEGIBLE O SIN DATO|1|I|c3bb289f17c5d2a3a0e4155e91023ab27184683735aaa4f0145fa9adbe18e0dc|2022-06-05 22:27:57|2022-06-05 23:04:15|2022-06-05 23:11:13|CASILLA|MOVIL|ACTA PREP
"=""230095B0100"""|230095B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""095"""|1|B|0|1|2|319|271|5|276|26|4|7|145|9|15|50|8|1|0|-|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|9|276|276|575|5||1|I|a4c220461ec11f86820fe119d104bd39723c573bb8aef56dd83545483e525fef|2022-06-05 23:23:59|2022-06-06 01:17:35|2022-06-06 01:22:01|CASILLA|MOVIL|ACTA PREP
"=""230096B0100"""|230096B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""096"""|1|B|0|1|2|296|117|3|120|13|6|1|39|7|11|29|3|2|1|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|7|120|120|395|3|ALGUN DATO ILEGIBLE O SIN DATO|1|F|193f47fe5731e976f2ef7fecb987270ffaa565c851b85043199c220e985e15a6|2022-06-06 06:11:00|2022-06-06 07:02:52|2022-06-06 07:12:45|CATD|ESCANER|ACTA PREP
"=""230096C0100"""|230096C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""096"""|1|C|0|1|2|322|86|6|92|5|3|0|23|3|10|33|6|0|1|-|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|5|92|92|394|6||1|F|4a8aaef7d9740aa8149e01652763ce94d8c5bdc919669eddb65de9c85d5f8d8e|2022-06-05 22:45:23|2022-06-06 01:05:41|2022-06-06 01:08:47|CASILLA|MOVIL|ACTA PREP
"=""230097B0100"""|230097B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""097"""|1|B|0|1|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|10|0|4|66|2|25|33|7|0|1|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|1|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|153|593|0|ALGUN DATO ILEGIBLE O SIN DATO|1|F|d9997886f5259bb2f33f2b7e2c69c11757edc51c7471b723337d07f928ba69ff|2022-06-06 06:31:00|2022-06-06 07:29:48|2022-06-06 07:37:10|CATD|ESCANER|ACTA PREP
"=""230114B0100"""|230114B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""114"""|1|B|0|1|2|285|92|6|92|6|2|2|27|2|11|34|1|0|0|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|1|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|3|88|377|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|0048c4e4576354a0c0e4a8c541ac2145635876d2eff92b00bb63a125cd7d1e58|2022-06-06 06:38:00|2022-06-06 07:38:46|2022-06-06 07:41:09|CATD|ESCANER|ACTA PREP
"=""230114C0100"""|230114C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""114"""|1|C|0|1|2|37|83|6|SIN DATO|9|2|1|32|2|7|25|3|2|1|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|91|84|376|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|a3cf566566126e33cfa1bac9140ce8391d848470c745caedaab873da0f3968ab|2022-06-06 06:14:00|2022-06-06 06:53:29|2022-06-06 07:07:22|CATD|ESCANER|ACTA PREP
"=""230115B0100"""|230115B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""115"""|1|B|0|1|2|386|100|6|106|8|2|3|28|3|12|30|2|2|4|-|SIN DATO|1|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|7|106|106|472|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|f157fe2f30d12de5c5b6add54eea3128b2abfe5a09edf9f3611e8c4bf065872c|2022-06-06 06:40:00|2022-06-06 07:35:39|2022-06-06 07:39:04|CATD|ESCANER|ACTA PREP
"=""230115C0100"""|230115C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""115"""|1|C|0|1|2|399|84|8|92|6|5|1|24|3|14|28|5|0|2|-|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|1|92|92|471|8||1|F|11875e4a74d574361c4c0077a47d4d1a616688396421fe2e602a2e9ba9d88feb|2022-06-06 06:33:00|2022-06-06 07:52:26|2022-06-06 08:01:47|CATD|ESCANER|ACTA PREP
"=""230116B0100"""|230116B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""116"""|1|B|0|1|2|319|145|5|1|27|10|3|32|9|11|38|6|2|3|-|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|150|150|449|5||1|F|7e72e7f3353125f80f6974ffacf1e8e2ea22de30f5becd85ba2254dffcbf02dc|2022-06-06 06:30:00|2022-06-06 07:27:22|2022-06-06 07:35:00|CATD|ESCANER|ACTA PREP
"=""230116C0100"""|230116C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""116"""|1|C|0|1|2|311|156|1|157|26|6|6|38|3|12|44|6|0|4|-|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|157|157|449|1||1|F|f1c15d3f4b92efac770c50390a6c55808cdbb655af0e2336d48440a2df6908ba|2022-06-06 06:13:00|2022-06-06 06:58:34|2022-06-06 07:08:14|CATD|ESCANER|ACTA PREP
"=""230117B0100"""|230117B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""117"""|1|B|0|1|2|315|244|6|SIN DATO|35|8|1|69|4|20|67|28|1|0|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|15|SIN DATO|250|549|6||1|I|e53b5987fc7060d70bd1d9ba08d384ca1c8e482b6e340b6cdad87b0047be9151|2022-06-05 21:05:06|2022-06-05 21:17:37|2022-06-05 21:21:41|CASILLA|MOVIL|ACTA PREP
"=""230117C0100"""|230117C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""117"""|1|C|0|1|2|325|235|8|243|31|1|4|79|4|17|59|25|2|3|-|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|3|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|13|243|243|548|8|ALGUN DATO ILEGIBLE O SIN DATO|1|I|d81a7bfa2542756105c5c619de20136a1ddc03c69a97acaa9e6781dbab10ad54|2022-06-06 05:18:00|2022-06-06 06:20:00|2022-06-06 06:22:26|CATD|ESCANER|ACTA PREP
"=""230119B0100"""|230119B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""119"""|1|B|0|1|2|352|171|6|177|85|8|1|8|3|23|37|7|0|1|-|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|3|177|178|529|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|1ce4e14cec4c2253ea24cfb33229b68550f6c5e186124a5dbf0d406342679846|2022-06-06 04:55:00|2022-06-06 06:40:53|2022-06-06 07:02:33|CATD|ESCANER|ACTA PREP
"=""230136B0100"""|230136B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""136"""|1|B|0|1|2|329|156|6|162|66|12|4|19|2|11|23|6|5|4|-|SIN DATO|SIN DATO|1|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|6|SIN DATO|162|471|6|ALGUN DATO ILEGIBLE O SIN DATO|1|I|1bbd2264c581359b1b7c454a2528e35ac791b23a6cd2efd82e8adb13c0229ac5|2022-06-06 04:59:00|2022-06-06 06:48:49|2022-06-06 07:00:41|CATD|ESCANER|ACTA PREP
"=""230137B0100"""|230137B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""137"""|1|B|0|1|2|379|219|6|225|107|16|3|6|4|18|50|6|4|3|-|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|225|225|584|6||1|I|73749c8c0d52773d7b55571ea54558458fddd83a9f91e3d53f7bbfc9a8bd20c5|2022-06-06 04:39:00|2022-06-06 04:51:03|2022-06-06 06:09:11|CATD|ESCANER|ACTA PREP
"=""230137S0100"""|230137S010003|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""137"""|1|S|0|1|3 ERP|219|781|0|SIN DATO|88|24|16|78|24|89|231|ILEGIBLE|9|11|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|SIN DATO|SIN DATO|608|0|0|ALGUN DATO ILEGIBLE O SIN DATO|1|I|4d265692d3f73f051c600b6cb27f72d5a1cfd549435b6a8c6dc3dc8150c72d7f|2022-06-06 04:31:00|2022-06-06 04:53:42|2022-06-06 06:08:33|CATD|ESCANER|ACTA PREP
"=""230137S0100"""|230137S010003|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""137"""|1|S|0|1|3 EMR|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|0|SIN ACTA|SIN ACTA POR CASILLA NO INSTALADA|0|I||N/A|N/A|N/A|CATD||
"=""230169B0100"""|230169B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|1|B|0|1|2|437|223|5|229|164|13|2|8|4|10|17|2|1|2|-|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|229|229|645|5||1|I|08095a24fda6722ec658630b00dc496929ae30316233cb20676e77c32bdbb3aa|2022-06-05 21:13:20|2022-06-05 20:19:47|2022-06-05 20:21:46|CASILLA|MOVIL|ACTA PREP
"=""230169C0100"""|230169C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|1|C|0|1|2|424|234|8|242|158|11|2|13|3|21|20|5|1|3|-|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|242|242|645|8||1|I|5ee1c9f22bb9f2fb9be3d1f27a4f71ee3e3fc0ff5bbba0df1caa75976bf3949f|2022-06-05 21:05:31|2022-06-05 21:17:05|2022-06-05 21:18:08|CASILLA|MOVIL|ACTA PREP
"=""230169C0200"""|230169C020002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|2|C|0|1|2|0|0|0|0|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|645|0|TODOS ILEGIBLES O SIN DATO|0|I|b8566f4f0ec9e5da1a107f22232cdd82dba41064f79c1e1745cdfe9720a83bc5|2022-06-06 05:09:00|2022-06-06 08:13:14|2022-06-06 09:03:10|CATD|ESCANER|ACTA PREP
"=""230169C0300"""|230169C030002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|3|C|0|1|2|445|216|4|219|147|13|5|6|4|9|17|5|2|3|-|2|1|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|1|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|ILEGIBLE|4|219|219|645|4|ALGUN DATO ILEGIBLE O SIN DATO|1|I|9b60669372a015e6b6c17d27f2d8f5147c8c69360800ff4fe3e1823fdf8351b7|2022-06-05 21:15:08|2022-06-05 21:27:59|2022-06-05 21:29:28|CASILLA|MOVIL|ACTA PREP
"=""230169S0100"""|230169S010003|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|1|S|0|1|3 ERP|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|SIN ACTA|0|SIN ACTA|SIN ACTA POR CASILLA NO INSTALADA|0|I||N/A|N/A|N/A|CATD||
"=""230169S0100"""|230169S010003|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""169"""|1|S|0|1|3 EMR|194|825|0|147|38|7|3|10|2|9|43|15|0|7|-|2|1|0|0|1|0|0|0|0|0|0|0|2|0|0|0|7|147|147|0|0||1|I|f8b96f11478271a4997a41739f1daccd7a1a0375b07ddfcd172af3177bee9239|2022-06-06 04:26:00|2022-06-06 04:49:07|2022-06-06 06:12:23|CATD|ESCANER|ACTA PREP
"=""230170B0100"""|230170B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""170"""|1|B|0|1|2|481|184|7|191|116|13|3|14|3|5|23|6|0|5|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|191|191|652|7|ALGUN DATO ILEGIBLE O SIN DATO|1|I|fc96323dbecc9a633d05707256485e027670aa06ea081397a27cdbd6c738e39c|2022-06-06 04:49:00|2022-06-06 06:32:27|2022-06-06 06:58:13|CATD|ESCANER|ACTA PREP
"=""230170C0100"""|230170C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""170"""|1|C|0|1|2|496|165|8|173|110|11|2|7|3|12|15|4|0|5|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|1|173|173|651|8|ALGUN DATO ILEGIBLE O SIN DATO|1|I|3cfb48aaa7b70fadcb366b23fe18c2d8a7503c5ff33498207075514cd6b7590b|2022-06-06 04:45:00|2022-06-06 08:02:25|2022-06-06 08:03:24|CATD|ESCANER|ACTA PREP
